Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
cp,70%,"Wasserstein
 distance(+)",0.005148339483427085,0.01278979515438124,0.017938134637808325,6.584620737824535e-05,0.02591180459206824
cp,70%,"Contingency
 coefficient(-)",0.07570598536321194,0.08933000103045902,0.16503598639367095,0.006762815750507637,0.41109570059242
cp,70%,"Total variation
 distance(+)",0.074536478688912,0.12111502808902952,0.19565150677794152,0.009027487710064928,0.3160843394833073
cp,70%,"Jensen-Shannon
 divergence(+)",0.006827183853165095,0.017754296048493837,0.02458147990165893,0.00012121184330658997,0.07724964228798607
exang,10%,"Hellinger
 distance(+)",0.0,0.02043384433118795,0.02043384433118795,0.0,0.016007059799603495
exang,10%,"Wasserstein
 distance(+)",0.0,0.0002876222487145472,0.0002876222487145472,0.0,0.002048811434158189
exang,10%,"Contingency
 coefficient(-)",0.0,0.10154069343531347,0.10154069343531347,0.0,0.6237153260090819
exang,10%,"Total variation
 distance(+)",0.0,0.015225217537667594,0.015225217537667594,0.0,0.03053335646097227
exang,10%,"Jensen-Shannon
 divergence(+)",0.0,0.00592157597049026,0.00592157597049026,0.0,0.008407185056637628
exang,30%,"Hellinger
 distance(+)",0.00818423197509157,0.047618490806704286,0.055802722781795856,0.0003897207750658332,0.04851875948162504
exang,30%,"Wasserstein
 distance(+)",0.00040976916239541996,0.003025197962556881,0.003434967124952301,1.2396328351972642e-06,0.006169134809842086
exang,30%,"Contingency
 coefficient(-)",0.011137576772622393,0.08876657574107494,0.09990415251369733,0.0009886445521590226,0.5899831839452008
exang,30%,"Total variation
 distance(+)",0.023579434697855714,0.036252029703755906,0.05983146440161162,0.000854802367064438,0.09078833667492747
exang,30%,"Jensen-Shannon
 divergence(+)",0.0015566365567461979,0.01668339155540589,0.018240028112152088,2.596997718565562e-05,0.025052719266203963
exang,50%,"Hellinger
 distance(+)",0.006279982070368083,0.07020755744643575,0.07648753951680384,0.0004409022019679537,0.0659067208169083
exang,50%,"Wasserstein
 distance(+)",0.00040976916239541996,0.0025086428135254408,0.0029184119759208607,1.0279644644476095e-06,0.00792510818215014
exang,50%,"Contingency
 coefficient(-)",0.030614422352430393,0.07578236661784044,0.10639678897027083,0.002320033378505289,0.5654533240738319
